# El	 r	 dHdphiext_over_Delta_sqr	 d2f01dphi2_GHz	 dHdr_over_Delta_sqr	 df01dr_GHz 
14157232.601517623	0.05	1.4694928937168504e-07	4032.3517221352477	5.4752411273730635e-05	1.1546892967641849
14157232.601517623	0.06999999999999999	4.4498358130200915e-07	4152.394805399908	6.452123109360562e-05	1.9754114007291939
14157232.601517623	0.09	1.128559935995573e-06	4050.598827557392	8.32535346615909e-05	3.0426678228061084
14157232.601517623	0.11	2.363488748911769e-06	3744.4448594194605	0.00010769137923964585	4.146594522186288
14157232.601517623	0.13	4.130290048595118e-06	3286.8220987660743	0.00013333430740557128	5.026969576094887
14157232.601517623	0.15000000000000002	6.2288557912948115e-06	2777.9954325578874	0.00015645915261169516	5.5438903515742695
14157232.601517623	0.17	8.437736064235703e-06	2301.4856518959164	0.00017549759876773395	5.722063329701243
14157232.601517623	0.19	1.0613089537278267e-05	1894.8151008590344	0.0001903490817753665	5.660859214758049
14157232.601517623	0.21000000000000002	1.2686215013019039e-05	1562.8321951387907	0.00020140188181828097	5.456810134288252
14157232.601517623	0.23	1.463201807439336e-05	1296.4802295797047	0.00020907544060362788	5.178668212584455
14157232.601517623	0.25	1.6445864436762716e-05	1083.4336057439405	0.00021372368593211308	4.869192051412202
14157232.601517623	0.27	1.8131724771954468e-05	912.3274878266539	0.00021566127394174802	4.55319402050418
14157232.601517623	0.29000000000000004	1.9696873477808508e-05	773.9051253012906	0.00021518581598065453	4.24436330570718
14157232.601517623	0.31	2.1149584175657524e-05	660.9749675321524	0.00021258973100947727	3.949652903768231
14157232.601517623	0.33	2.249810949862571e-05	568.0208343177954	0.00020816716120512275	3.672100944546889
14157232.601517623	0.35000000000000003	2.3750278417960176e-05	490.8242144548523	0.00020220019285342773	3.412673810704526
14157232.601517623	0.37	2.491337918546035e-05	426.1806095856836	0.00019495080207865287	3.1712178316837116
14157232.601517623	0.39	2.5994110625759877e-05	371.64285814581456	0.00018667216014731078	2.9468896992434335
14157232.601517623	0.41000000000000003	2.6998561670731993e-05	325.2957802995616	0.00017760255776525346	2.7385283479406115
14157232.601517623	0.43	2.7932260071379698e-05	285.630353780846	0.0001679483598524395	2.5449473786034833
14157232.601517623	0.45	2.8800245139249048e-05	251.47557307219984	0.00015789141996533896	2.3649759574612883
14157232.601517623	0.47000000000000003	2.9607098139784422e-05	221.90879555875918	0.00014760028860675528	2.1974225033572674
14157232.601517623	0.49	3.0356963906557913e-05	196.17562628102246	0.00013722150889658536	2.0411664679591954
14157232.601517623	0.51	3.105360904395333e-05	173.6605377832223	0.00012687603067326267	1.8952411357705437
14157232.601517623	0.53	3.170047830932997e-05	153.87091703089388	0.0001166681457967959	1.7587629082590799
14157232.601517623	0.55	3.230071298946074e-05	136.40707264224838	0.00010668728918665988	1.630869382559744
14157232.601517623	0.5700000000000001	3.2857167580628174e-05	120.93546830153001	9.700660180446315e-05	1.5107919468408146
14157232.601517623	0.59	3.337245205916226e-05	107.17233859871361	8.768647212995583e-05	1.3978937784198138
14157232.601517623	0.61	3.3848967720397236e-05	94.8784196491073	7.877488762574205e-05	1.2915807549929879
14157232.601517623	0.63	3.4288915459311345e-05	83.86033145653418	7.030697519307592e-05	1.1912665865889065
14157232.601517623	0.65	3.469430688488703e-05	73.9590137458722	6.231060093647127e-05	1.0964521006031702
